timestamp,catalog,instrument,technique,long,lat,speed,type,half_width,time_21_5,earth_prediction,PE
1/1/21 22:00,M2M_CATALOG,SOHO: LASCO/C2,StereoCAT,15,-22,372,S,25,2021-01-02T07:27Z,2021-01-05T20:30Z,8.2
1/2/21 11:24,M2M_CATALOG,STEREO A: SECCHI/COR2,SWPC_CAT,44,-26,626,C,30,2021-01-02T16:52Z,2021-01-05T20:30Z,8.2
3/20/21 0:48,M2M_CATALOG,SOHO: LASCO/C2,SWPC_CAT,-20,6,422,S,35,2021-03-20T11:59Z,2021-03-23T12:00Z,-31.3
3/21/21 23:24,M2M_CATALOG,SOHO: LASCO/C2,SWPC_CAT,24,10,281,S,30,2021-03-22T16:34Z,2021-03-26T08:00Z,-13.6
4/10/21 6:53,M2M_CATALOG,STEREO A: SECCHI/COR2,,19,-4,239,S,28,2021-04-11T00:52Z,2021-04-15T18:00Z,14.5
4/22/21 5:23,M2M_CATALOG,STEREO A: SECCHI/COR2,SWPC_CAT,-8,-13,803,C,30,2021-04-22T09:37Z,2021-04-24T17:24Z,-5
4/26/21 19:39,M2M_CATALOG,STEREO A: SECCHI/COR2,SWPC_CAT,7,-18,232,S,22,2021-04-27T11:47Z,2021-04-30T20:40Z,-16.2
5/9/21 11:23,M2M_CATALOG,STEREO A: SECCHI/COR2,StereoCAT,-10,-4,717,C,27,2021-05-09T15:54Z,2021-05-12T03:34Z,-2.2
5/22/21 9:12,M2M_CATALOG,SOHO: LASCO/C2,SWPC_CAT,-20,-3,500,C,21,2021-05-22T14:11Z,2021-05-25T20:00Z,-15.6
5/22/21 16:09,M2M_CATALOG,STEREO A: SECCHI/COR2,SWPC_CAT,-17,15,611,C,20,2021-05-22T21:11Z,2021-05-25T20:00Z,-15.6
5/22/21 22:09,M2M_CATALOG,STEREO A: SECCHI/COR2,SWPC_CAT,25,13,670,C,26,2021-05-23T03:04Z,2021-05-25T20:00Z,-15.6
5/23/21 9:53,M2M_CATALOG,STEREO A: SECCHI/COR2,,22,5,699,C,26,2021-05-23T14:34Z,2021-05-26T07:37Z,-4
5/23/21 11:38,M2M_CATALOG,STEREO A: SECCHI/COR2,SWPC_CAT,25,8,806,C,31,2021-05-23T15:45Z,2021-05-26T07:37Z,-4
5/23/21 17:38,M2M_CATALOG,STEREO A: SECCHI/COR2,SWPC_CAT,27,1,703,C,23,2021-05-23T22:17Z,2021-05-26T07:37Z,-4
5/28/21 23:12,M2M_CATALOG,SOHO: LASCO/C2,SWPC_CAT,62,-9,824,C,46,2021-05-29T03:16Z,2021-06-01T06:00Z,-30.3
7/10/21 13:36,M2M_CATALOG,SOHO: LASCO/C2,SWPC_CAT,-20,2,375,S,14,2021-07-10T21:00Z,2021-07-14T06:00Z,-4
7/20/21 16:48,M2M_CATALOG,STEREO A: SECCHI/COR2,,-43,26,971,C,29,2021-07-20T20:01Z,2021-07-23T17:00Z,-37.4
7/22/21 14:00,M2M_CATALOG,SOHO: LASCO/C2,SWPC_CAT,24,-1,364,S,27,2021-07-22T22:33Z,2021-07-26T12:30Z,17.7
7/29/21 0:24,M2M_CATALOG,SOHO: LASCO/C2,SWPC_CAT,-9,-4,264,S,36,2021-07-29T12:16Z,2021-08-02T11:30Z,2.5
8/23/21 6:36,M2M_CATALOG,SOHO: LASCO/C2,SWPC_CAT,-1,11,393,S,35,2021-08-23T14:36Z,2021-08-26T20:25Z,-4
8/24/21 13:25,M2M_CATALOG,SOHO: LASCO/C2,,-36,8,454,S,33,2021-08-24T20:57Z,2021-08-28T03:00Z,15.3
8/28/21 7:00,M2M_CATALOG,SOHO: LASCO/C2,SWPC_CAT,-2,-10,261,S,45,2021-08-28T20:11Z,2021-09-02T00:00Z,-30.3
9/5/21 21:36,M2M_CATALOG,SOHO: LASCO/C2,SWPC_CAT,0,7,537,C,45,2021-09-06T04:21Z,2021-09-09T01:35Z,-23.9
9/13/21 10:36,M2M_CATALOG,SOHO: LASCO/C2,SWPC_CAT,9,6,394,S,31,2021-09-13T18:19Z,2021-09-16T22:30Z,-3
9/23/21 5:48,M2M_CATALOG,SOHO: LASCO/C2,,-32,-14,300,S,48,2021-09-23T16:44Z,2021-09-26T23:30Z,0.5
9/23/21 16:53,M2M_CATALOG,SOHO: LASCO/C2,,-16,-21,428,S,32,2021-09-23T23:28Z,2021-09-26T23:30Z,0.5
9/28/21 7:00,M2M_CATALOG,SOHO: LASCO/C2,,43,-17,649,C,45,2021-09-28T12:13Z,2021-10-01T10:30Z,16.5
10/9/21 7:09,M2M_CATALOG,STEREO A: SECCHI/COR2,SWPC_CAT,9,6,983,C,45,2021-10-09T10:33Z,2021-10-11T07:50Z,-17.9
10/12/21 3:24,M2M_CATALOG,SOHO: LASCO/C2,SWPC_CAT,30,-1,512,C,35,2021-10-12T09:40Z,2021-10-15T12:00Z,-12.2
10/26/21 20:00,M2M_CATALOG,SOHO: LASCO/C2,SWPC_CAT,-27,-13,302,S,33,2021-10-27T06:51Z,2021-10-30T23:30Z,7.1
10/28/21 15:53,M2M_CATALOG,STEREO A: SECCHI/COR2,SWPC_CAT,0,-17,1109,O,49,2021-10-28T18:52Z,2021-10-30T16:54Z,-16.3
11/1/21 18:38,M2M_CATALOG,STEREO A: SECCHI/COR2,SWPC_CAT,32,-30,509,C,32,2021-11-02T01:20Z,2021-11-03T21:39Z,2.3
11/1/21 21:36,M2M_CATALOG,SOHO: LASCO/C2,SWPC_CAT,43,-19,771,C,49,2021-11-02T02:00Z,2021-11-03T21:39Z,2.3
11/2/21 2:48,M2M_CATALOG,SOHO: LASCO/C2,SWPC_CAT,-5,16,1151,O,51,2021-11-02T05:52Z,2021-11-03T21:39Z,2.3
11/24/21 14:09,M2M_CATALOG,STEREO A: SECCHI/COR2,SWPC_CAT,-3,-16,561,C,31,2021-11-24T19:47Z,2021-11-27T13:24Z,-8.4
11/29/21 10:38,M2M_CATALOG,STEREO A: SECCHI/COR2,SWPC_CAT,-5,-19,600,C,27,2021-11-29T15:44Z,2021-12-02T10:55Z,-48.9
12/5/21 14:36,M2M_CATALOG,SOHO: LASCO/C2,SWPC_CAT,-1,-26,248,S,38,2021-12-06T04:26Z,2021-12-09T23:00Z,-14.4
12/6/21 5:48,M2M_CATALOG,SOHO: LASCO/C2,SWPC_CAT,-5,-41,204,S,45,2021-12-06T23:23Z,2021-12-11T15:00Z,25.6
12/14/21 17:38,M2M_CATALOG,STEREO A: SECCHI/COR2,SWPC_CAT,8,9,305,S,18,2021-12-15T00:13Z,2021-12-18T18:00Z,-24.5
12/15/21 5:00,M2M_CATALOG,SOHO: LASCO/C2,SWPC_CAT,-42,2,680,C,24,2021-12-15T11:33Z,2021-12-18T09:00Z,-33.5
12/24/21 17:09,M2M_CATALOG,STEREO A: SECCHI/COR2,SWPC_CAT,-14,-36,443,S,38,2021-12-25T01:34Z,2021-12-28T07:06Z,22.5
1/15/22 16:12,M2M_CATALOG,SOHO: LASCO/C2,SWPC_CAT,5,34,416,S,25,2022-01-16T02:08Z,2022-01-19T06:00Z,6.9
1/16/22 20:48,M2M_CATALOG,SOHO: LASCO/C2,SWPC_CAT,30,12,610,C,22,2022-01-17T02:12Z,2022-01-20T00:00Z,24.9
1/18/22 18:23,M2M_CATALOG,STEREO A: SECCHI/COR2,SWPC_CAT,53,4,962,C,47,2022-01-18T21:28Z,2022-01-21T11:00Z,-1.9
